YEAR,MONTH,Coachella_AF,MWD_AF,Total,km3
2000,1,963,105056,106019,0.130772316
2000,2,5544,80130,85674,0.105677166
2000,3,12276,87467,99743,0.123030996
2000,4,2202,135953,138155,0.170411429
2000,5,2503,104298,106801,0.131736897
2000,6,2502,128892,131394,0.162071871
2000,7,2753,136699,139452,0.172011253
2000,8,2502,153406,155908,0.1923094
2000,9,3713,134619,138332,0.170629755
2000,10,5417,150627,156044,0.192477153
2000,11,994,152228,153222,0.188996273
2000,12,954,153037,153991,0.189944819
2001,1,0,94266,94266,0.116275226
2001,2,0,60337,60337,0.074424483
2001,3,0,67344,67344,0.083067477
2001,4,1246,70387,71633,0.088357873
2001,5,1155,91335,92490,0.114084565
2001,6,1925,93399,95324,0.117580248
2001,7,1925,95955,97880,0.120733022
2001,8,2849,86346,89195,0.110020249
2001,9,0,83802,83802,0.103368091
2001,10,0,122562,122562,0.151177776
2001,11,0,102823,102823,0.126830114
2001,12,0,54613,54613,0.067364043
2002,1,0,98333,98333,0.121291789
2002,2,0,94519,94519,0.116587296
2002,3,1403,105598,107001,0.131983593
2002,4,1482,127628,129110,0.159254603
2002,5,1532,122728,124260,0.153272225
2002,6,1532,122107,123639,0.152506234
2002,7,2006,140823,142829,0.176176715
2002,8,1763,127335,129098,0.159239801
2002,9,1763,123811,125574,0.154893018
2002,10,1763,146100,147863,0.182386053
2002,11,1763,121187,122950,0.151656366
2002,12,1748,78750,80498,0.099292673
2003,1,0,45885,45885,0.05659823
2003,2,0,51115,51115,0.06304933
2003,3,152,170485,170637,0.210477327
2003,4,2534,162902,165436,0.204061997
2003,5,2310,140726,143036,0.176432045
2003,6,2332,154458,156790,0.193397329
2003,7,2310,180685,182995,0.225720673
2003,8,3557,214448,218005,0.268904807
2003,9,1248,147286,148534,0.183213718
2003,10,0,152379,152379,0.187956449
2003,11,0,121079,121079,0.149348525
2003,12,0,130571,130571,0.161056717
2004,1,6745,115746,122491,0.151090199
2004,2,0,97652,97652,0.120451789
2004,3,0,93203,93203,0.114964036
2004,4,0,150816,150816,0.18602852
2004,5,0,205369,205369,0.253318554
2004,6,89,161458,161547,0.199264994
2004,7,0,164550,164550,0.202969134
2004,8,0,161109,161109,0.198724729
2004,9,0,166000,166000,0.20475768
2004,10,1106,143793,144899,0.178730019
2004,11,1737,130604,132341,0.163239977
2004,12,5788,134080,139868,0.172524381
2005,1,12819,91947,104766,0.129226766
2005,2,0,99413,99413,0.122623947
2005,3,3300,82972,86272,0.106414787
2005,4,3300,101572,104872,0.129357515
2005,5,3300,130292,133592,0.16478306
2005,6,3300,121500,124800,0.153938304
2005,7,6016,158617,164633,0.203071513
2005,8,3300,146190,149490,0.184392925
2005,9,3300,144053,147353,0.181756978
2005,10,3300,133564,136864,0.168819007
2005,11,584,125297,125881,0.155271696
2005,12,0,142628,142628,0.175928785
2006,1,0,136424,136424,0.168276276
2006,2,0,141788,141788,0.174892662
2006,3,0,96690,96690,0.119265181
2006,4,0,106693,106693,0.131603682
2006,5,0,129965,129965,0.160309228
2006,6,0,146156,146156,0.180280503
2006,7,0,167723,167723,0.206882966
2006,8,28713,104197,132910,0.163941827
2006,9,52424,106666,159090,0.196234333
2006,10,13321,130071,143392,0.176871164
2006,11,13321,129231,142552,0.175835041
2006,12,13321,116582,129903,0.160232752
2007,1,0,114479,114479,0.141207557
2007,2,922,48926,49848,0.061486511
2007,3,568,61322,61890,0.076340077
2007,4,0,256753,256753,0.31669969
2007,5,0,169864,169864,0.209523847
2007,6,0,170187,170187,0.209922261
2007,7,5133,179796,184929,0.228106223
2007,8,13321,141777,155098,0.191310281
2007,9,13321,106058,119379,0.147251609
2007,10,13321,102783,116104,0.143211962
2007,11,13321,99440,112761,0.139088438
2007,12,13321,48303,61624,0.076011972
2008,1,8073,61577,69650,0.085911882
2008,2,11101,38955,50056,0.061743075
2008,3,11101,84764,95865,0.11824756
2008,4,0,90440,90440,0.111555931
2008,5,0,74815,74815,0.092282806
2008,6,0,116313,116313,0.143469759
2008,7,154,120227,120381,0.148487556
2008,8,667,106738,107405,0.132481919
2008,9,427,59012,59439,0.073316818
2008,10,12110,35821,47931,0.05912193
2008,11,51,71922,71973,0.088777256
2008,12,3107,37729,40836,0.050370389
2009,1,0,24380,24380,0.030072242
2009,2,0,14716,14716,0.018151892
2009,3,0,24950,24950,0.030775326
2009,4,4541,26243,30784,0.037971448
2009,5,5928,34850,40778,0.050298847
2009,6,7594,69128,76722,0.094635053
2009,7,8459,109566,118025,0.145581477
2009,8,8387,107481,115868,0.142920861
2009,9,8113,90504,98617,0.121642097
2009,10,0,157097,157097,0.193776008
2009,11,3000,133073,136073,0.167843324
2009,12,0,85950,85950,0.106017606
2010,1,7595,21570,29165,0.035974444
2010,2,0,25017,25017,0.030857969
2010,3,0,19490,19490,0.024040525
2010,4,0,72473,72473,0.089393996
2010,5,0,87404,87404,0.107811086
2010,6,0,111429,111429,0.137445443
2010,7,0,186727,186727,0.23032402
2010,8,8299,230869,239168,0.295008945
2010,9,15648,174929,190577,0.235072918
2010,10,15219,109026,124245,0.153253723
2010,11,15219,142450,157669,0.194481558
2010,12,23612,76704,100316,0.12373778
2011,1,0,109598,109598,0.135186941
2011,2,0,64280,64280,0.079288094
2011,3,0,124121,124121,0.153100771
2011,4,0,99305,99305,0.122490731
2011,5,4147,117293,121440,0.149793811
2011,6,15219,127161,142380,0.175622882
2011,7,15219,206877,222096,0.273950974
2011,8,13553,214210,227763,0.280941105
2011,9,2262,183196,185458,0.228758734
2011,10,9441,118533,127974,0.15785337
2011,11,15219,119227,134446,0.165836452
2011,12,15219,116104,131323,0.161984294
2012,1,16674,71836,88510,0.109175315
2012,2,5989,32725,38714,0.047752945
2012,3,0,46056,46056,0.056809155
2012,4,0,94758,94758,0.116882098
2012,5,0,144842,144842,0.17865971
2012,6,1000,162380,163380,0.201525962
2012,7,13140,157669,170809,0.210689485
2012,8,16219,133832,150051,0.185084907
2012,9,16219,93321,109540,0.135115399
2012,10,16219,119325,135544,0.167190813
2012,11,16908,113583,130491,0.160958039
2012,12,15219,48180,63399,0.078201399
2013,1,0,85883,85883,0.105934963
2013,2,0,74150,74150,0.091462542
2013,3,0,78206,78206,0.096465537
2013,4,0,85799,85799,0.105831351
2013,5,0,82177,82177,0.101363686
2013,6,0,79258,79258,0.097763158
2013,7,5970,74919,80889,0.099774964
2013,8,5146,73538,78684,0.09705514
2013,9,16874,57589,74463,0.091848621
2013,10,15219,75769,90988,0.112231878
2013,11,15382,58026,73408,0.0905473
2013,12,7948,46573,54521,0.067250563
2014,1,2500,35464,37964,0.046827835
2014,2,0,36241,36241,0.044702549
2014,3,0,19329,19329,0.023841935
2014,4,0,6686,6686,0.008247047
2014,5,0,10436,10436,0.012872597
2014,6,0,38016,38016,0.046891976
2014,7,277,46588,46865,0.05780704
2014,8,397,42023,42420,0.052324222
2014,9,278,38501,38779,0.047833121
2014,10,0,52683,52683,0.064983427
2014,11,2201,40044,42245,0.052108363
2014,12,7217,31279,38496,0.047484046
2015,1,0,43971,43971,0.054237349
2015,2,0,42360,42360,0.052250213
2015,3,0,60432,60432,0.074541663
2015,4,0,58460,58460,0.072109241
2015,5,4852,40124,44976,0.055476996
2015,6,5086,40628,45714,0.056387305
2015,7,6566,34239,40805,0.050332151
2015,8,7058,37202,44260,0.054593825
2015,9,4534,32376,36910,0.045527747
2015,10,3000,41669,44669,0.055098318
2015,11,3000,47037,50037,0.061719639
2015,12,3500,86406,89906,0.110897253
2016,1,0,29766,29766,0.036715766
2016,2,0,50208,50208,0.061930564
2016,3,14497,53551,68048,0.083935847
2016,4,5991,120475,126466,0.155993282
2016,5,6657,113117,119774,0.147738834
2016,6,0,119524,119524,0.147430464
2016,7,0,121716,121716,0.150134252
2016,8,0,121452,121452,0.149808613
2016,9,16117,90247,106364,0.131197867
2016,10,14480,90565,105045,0.129570907
2016,11,7180,69849,77029,0.095013731
2016,12,4500,63382,67882,0.083731089
2017,1,30088,53129,83217,0.102646505
2017,2,0,87103,87103,0.107439808
2017,3,3081,106044,109125,0.134603505
2017,4,4591,129076,133667,0.164875571
2017,5,1300,139819,141119,0.174067464
2017,6,0,134118,134118,0.165431871
2017,7,806,153802,154608,0.190705876
2017,8,0,191752,191752,0.236522257
2017,9,0,155674,155674,0.192020766
2017,10,8207,146798,155005,0.191195567
2017,11,15219,134695,149914,0.184915921
2017,12,20616,143266,163882,0.202145169
2018,1,52594,46817,99411,0.12262148
2018,2,16581,47830,64411,0.07944968
2018,3,4099,41347,45446,0.056056732
2018,4,1880,59302,61182,0.075466773
2018,5,0,45073,45073,0.055596644
2018,6,7000,40970,47970,0.059170036
2018,7,876,84501,85377,0.105310822
2018,8,0,87912,87912,0.108437694
2018,9,4966,73087,78053,0.096276814
2018,10,17639,57393,75032,0.092550471
2018,11,17510,54112,71622,0.088344305
2018,12,15943,32295,48238,0.059500608
2019,1,0,44962,44962,0.055459728
2019,2,0,31731,31731,0.039139554
2019,3,0,81579,81579,0.100626065
2019,4,0,137939,137939,0.170144998
2019,5,0,125275,125275,0.154524207
2019,6,0,96401,96401,0.118908705
2019,7,0,160732,160732,0.198259707
2019,8,0,165713,165713,0.204403671
2019,9,1114,150809,151923,0.187393982
2019,10,14025,126074,140099,0.172809315
2019,11,15219,108049,123268,0.152048613
2019,12,4230,116327,120557,0.148704648
2020,1,26522,28864,55386,0.068317523
2020,2,27970,13333,41303,0.050946424
2020,3,8253,16739,24992,0.030827132
2020,4,8757,23265,32022,0.039498497
2020,5,7173,33076,40249,0.049646337
2020,6,0,46058,46058,0.056811622
2020,7,163,48909,49072,0.060529331
2020,8,146,54254,54400,0.067101312
2020,9,13531,30754,44285,0.054624662
2020,10,10417,47855,58272,0.071877347
2020,11,6963,48535,55498,0.068455673
2020,12,6923,39863,46786,0.057709595
2021,1,2375,30571,32946,0.040638232
2021,2,2375,44941,47316,0.05836334
2021,3,0,62827,62827,0.077495848
2021,4,0,14248,14248,0.017574623
2021,5,0,17333,17333,0.021379909
2021,6,0,23516,23516,0.029006516
2021,7,273,31778,32051,0.039534267
2021,8,273,42164,42437,0.052345191
2021,9,2234,46056,48290,0.059564749
2021,10,1901,40692,42593,0.052537614
2021,11,3522,35756,39278,0.048448627
2021,12,4344,28975,33319,0.04109832
2022,1,0,23298,23298,0.028737617
2022,2,0,33722,33722,0.041595413
2022,3,0,37782,37782,0.046603341
2022,4,2350,39942,42292,0.052166336
2022,5,2405,34740,37145,0.045817615
2022,6,0,31412,31412,0.038746074
2022,7,673,36906,37579,0.046352945
2022,8,1778,37040,38818,0.047881227
2022,9,801,40115,40916,0.050469068
2022,10,0,38141,38141,0.047046161
2022,11,0,29705,29705,0.036640523
2022,12,0,29095,29095,0.035888101
2023,1,0,61546,61546,0.07591576
2023,2,0,31080,31080,0.038336558
2023,3,5204,99123,104327,0.128685268
2023,4,9566,144348,153914,0.189849841
2023,5,4237,104829,109066,0.13453073
2023,6,4237,118688,122925,0.151625529
2023,7,4237,177315,181552,0.223940761
2023,8,4237,140485,144722,0.178511693
2023,9,5864,128241,134105,0.165415835
2023,10,5864,122948,128812,0.158887026
2023,11,4262,127481,131743,0.162502356
2023,12,5666,92946,98612,0.12163593
2024,1,8497,8852,17349,0.021399645
2024,2,5004,8141,13145,0.016214095
2024,3,0,30732,30732,0.037907307
2024,4,0,21030,21030,0.025940084
2024,5,4790,41391,46181,0.05696334
2024,6,3997,70253,74250,0.09158589
2024,7,3997,102345,106342,0.13117073
2024,8,1371,104665,106036,0.130793285
2024,9,6523,94032,100555,0.124032581
2024,10,5884,93704,99588,0.122839806
2024,11,12994,70785,83779,0.103339721
2024,12,14175,54351,68526,0.08452545
