YEAR,MONTH,Reported Transport
2010,1,0.22620173
2010,2,0.214662524
2010,3,0.462875705
2010,4,0.480454028
2010,5,0.594418946
2010,6,0.545137719
2010,7,0.61800185
2010,8,0.576218949
2010,9,0.531360981
2010,10,0.429458265
2010,11,0.405529986
2010,12,0.289753086
2011,1,0.269193442
2011,2,0.23309565
2011,3,0.505187769
2011,4,0.577047847
2011,5,0.598198329
2011,6,0.589889607
2011,7,0.642551802
2011,8,0.603407315
2011,9,0.498862484
2011,10,0.36884259
2011,11,0.241833622
2011,12,0.191470633
2012,1,0.28142833
2012,2,0.3420107
2012,3,0.469875704
2012,4,0.628094183
2012,5,0.661964311
2012,6,0.618855418
2012,7,0.591959387
2012,8,0.536081509
2012,9,0.475016848
2012,10,0.393007697
2012,11,0.267584984
2012,12,0.182054247
2013,1,0.267425865
2013,2,0.248577057
2013,3,0.520839397
2013,4,0.582654014
2013,5,0.624301232
2013,6,0.609075155
2013,7,0.569931901
2013,8,0.514674464
2013,9,0.438573682
2013,10,0.493559753
2013,11,0.324300394
2013,12,0.326883301
2014,1,0.325458632
2014,2,0.310575462
2014,3,0.512809442
2014,4,0.593490135
2014,5,0.645587397
2014,6,0.608856829
2014,7,0.624190219
2014,8,0.503861778
2014,9,0.472533853
2014,10,0.457427424
2014,11,0.377385673
2014,12,0.303177049
2015,1,0.31938991
2015,2,0.324379337
2015,3,0.481559226
2015,4,0.590568021
2015,5,0.536286267
2015,6,0.566035338
2015,7,0.564336836
2015,8,0.567855954
2015,9,0.491249445
2015,10,0.492054908
2015,11,0.413432892
2015,12,0.352461976
2016,1,0.218830453
2016,2,0.235441728
2016,3,0.293094584
2016,4,0.361429376
2016,5,0.377685409
2016,6,0.270557671
2016,7,0.256217232
2016,8,0.213975476
2016,9,0.286374585
2016,10,0.280203484
2016,11,0.246830449
2016,12,0.182236802
2017,1,0.190193982
2017,2,0.226845606
2017,3,0.416033068
2017,4,0.493200811
2017,5,0.514639926
2017,6,0.540607147
2017,7,0.528965563
2017,8,0.484164336
2017,9,0.402371044
2017,10,0.446786192
2017,11,0.365657745
2017,12,0.357160301
2018,1,0.218824286
2018,2,0.268047539
2018,3,0.437769453
2018,4,0.545043975
2018,5,0.602989165
2018,6,0.58250723
2018,7,0.572640623
2018,8,0.573340006
2018,9,0.479466011
2018,10,0.41856787
2018,11,0.35288506
2018,12,0.20935856
2019,1,0.250345867
2019,2,0.23250728
2019,3,0.382116069
2019,4,0.481688742
2019,5,0.562503884
2019,6,0.544051024
2019,7,0.568718157
2019,8,0.541935605
2019,9,0.442216148
2019,10,0.366086996
2019,11,0.204972306
2019,12,0.16026729