YEAR,MONTH,AZ_AF,CA_AF,NV_AF,MX_AF,AZ_km3,CA_km3,NV_km3,MX_km3,D_COLOW,DATE
2010,1,135447,183385,6654,121598,0.167071166,0.22620173,0.008207576,0.149988701,0.325267443,1/1/10
2010,2,117331,174030,5400,140231,0.144725442,0.214662524,0.006660792,0.172972134,0.324358368,2/1/10
2010,3,218000,375260,12305,214968,0.26889864,0.462875705,0.015177971,0.265158729,0.54923534,3/1/10
2010,4,278902,389511,19249,195356,0.344020039,0.480454028,0.023743257,0.240967719,0.608731014,4/1/10
2010,5,302751,481904,28041,104228,0.373437303,0.594418946,0.034588013,0.128563153,0.53658847,5/1/10
2010,6,309364,441951,28120,112423,0.381594307,0.545137719,0.034685458,0.138671522,0.554951286,6/1/10
2010,7,217618,501023,34322,122685,0.268427451,0.61800185,0.042335501,0.151329494,0.462092445,7/1/10
2010,8,229979,467149,33449,95542,0.283674497,0.576218949,0.041258673,0.117849146,0.442782316,8/1/10
2010,9,290441,430782,23184,89308,0.358253165,0.531360981,0.028597,0.110159632,0.497009797,9/1/10
2010,10,248075,348168,23914,75999,0.305995551,0.429458265,0.029497441,0.093743247,0.429236238,10/1/10
2010,11,214994,328769,17359,109322,0.265190799,0.405529986,0.021411979,0.134846501,0.421449279,11/1/10
2010,12,217465,234907,9440,118340,0.268238728,0.289753086,0.011644051,0.145970023,0.425852803,12/1/10
2011,1,129270,218239,9479,128113,0.15945196,0.269193442,0.011692157,0.158024823,0.32916894,1/1/11
2011,2,180781,188974,8943,155921,0.222989748,0.23309565,0.011031012,0.192325435,0.426346195,2/1/11
2011,3,290691,409563,14910,195426,0.358561535,0.505187769,0.018391187,0.241054062,0.618006784,3/1/11
2011,4,315005,467821,20577,192064,0.388552367,0.577047847,0.025381318,0.236907103,0.650840788,4/1/11
2011,5,303211,484968,26055,110741,0.374004704,0.598198329,0.032138321,0.136596809,0.542739834,5/1/11
2011,6,298321,478232,25759,119568,0.367972987,0.589889607,0.031773211,0.147484737,0.547230935,6/1/11
2011,7,236817,520926,27213,125942,0.292109033,0.642551802,0.033566691,0.155346938,0.481022663,7/1/11
2011,8,198525,489191,28699,94770,0.244876617,0.603407315,0.035399643,0.1168969,0.397173159,8/1/11
2011,9,201721,404435,18540,89307,0.248818819,0.498862484,0.022868719,0.110158398,0.381845937,9/1/11
2011,10,239375,299026,20511,63478,0.295264275,0.36884259,0.025299908,0.078298843,0.398863027,10/1/11
2011,11,208992,196058,13287,109271,0.257787452,0.241833622,0.016389249,0.134783593,0.408960294,11/1/11
2011,12,178399,155228,8874,115401,0.220051599,0.191470633,0.010945902,0.142344825,0.373342326,12/1/11
2012,1,223301,228158,8924,130284,0.275437317,0.28142833,0.011007576,0.160702708,0.447147601,1/1/12
2012,2,228623,277273,10735,158442,0.282001898,0.3420107,0.013241408,0.195435038,0.490678344,2/1/12
2012,3,296991,380935,16487,186740,0.366332459,0.469875704,0.020336385,0.230340055,0.617008899,3/1/12
2012,4,313981,509205,20784,177140,0.387289284,0.628094183,0.025636648,0.218498647,0.631424579,4/1/12
2012,5,337032,536664,31053,97665,0.415722231,0.661964311,0.038303254,0.120467824,0.57449331,5/1/12
2012,6,279963,501715,29004,102476,0.345328761,0.618855418,0.035775854,0.126402096,0.507506712,6/1/12
2012,7,175751,479910,29362,102616,0.216785343,0.591959387,0.03621744,0.126574784,0.379577567,7/1/12
2012,8,204527,434609,24230,92284,0.252279964,0.536081509,0.02988722,0.113830468,0.395997653,8/1/12
2012,9,233009,385103,19085,89308,0.287411941,0.475016848,0.023540966,0.110159632,0.421112539,9/1/12
2012,10,120169,318617,20872,55370,0.148226058,0.393007697,0.025745195,0.068297788,0.24226904,10/1/12
2012,11,222460,216935,15406,86157,0.274399961,0.267584984,0.019002993,0.106272936,0.39967589,11/1/12
2012,12,153859,147594,11239,88541,0.189781999,0.182054247,0.013863082,0.109213553,0.312858634,12/1/12
2013,1,107294,216806,8965,125151,0.132345003,0.267425865,0.011058148,0.154371255,0.297774407,1/1/13
2013,2,201539,201525,8470,155921,0.248594326,0.248577057,0.010447576,0.192325435,0.451367336,2/1/13
2013,3,283383,422252,15300,200712,0.349547263,0.520839397,0.018872244,0.247574238,0.615993745,3/1/13
2013,4,295234,472366,20750,212137,0.364165234,0.582654014,0.02559471,0.261666747,0.651426691,4/1/13
2013,5,323917,506130,28076,111275,0.399545141,0.624301232,0.034631184,0.137255487,0.571431813,5/1/13
2013,6,274037,493786,28679,109209,0.338019159,0.609075155,0.035374973,0.134707117,0.508101249,6/1/13
2013,7,207476,462052,29150,111424,0.255917496,0.569931901,0.035955942,0.137439276,0.429312714,7/1/13
2013,8,208424,417254,27538,104505,0.257086836,0.514674464,0.033967572,0.128904827,0.419959235,8/1/13
2013,9,235296,355558,16179,101509,0.29023291,0.438573682,0.019956473,0.125209321,0.435398704,9/1/13
2013,10,281311,400136,19884,64711,0.346991492,0.493559753,0.024526516,0.079819724,0.451337733,10/1/13
2013,11,190713,262915,11754,98740,0.235240671,0.324300394,0.014498324,0.121793815,0.37153281,11/1/13
2013,12,170243,265009,8818,104706,0.209991336,0.326883301,0.010876827,0.129152757,0.350020919,12/1/13
2014,1,129388,263854,8130,130640,0.15959751,0.325458632,0.010028192,0.161141827,0.33076753,1/1/14
2014,2,191933,251788,8028,161705,0.236745517,0.310575462,0.009902377,0.199459883,0.446107778,2/1/14
2014,3,283591,415742,13983,259700,0.349803827,0.512809442,0.017247751,0.320334756,0.687386334,3/1/14
2014,4,318016,481151,20864,240692,0.392266376,0.593490135,0.025735327,0.296888768,0.714890471,4/1/14
2014,5,326442,523387,30194,115252,0.402659678,0.645587397,0.037243695,0.142161037,0.58206441,5/1/14
2014,6,264493,493609,28078,112038,0.326246826,0.608856829,0.034633651,0.138196632,0.499077109,6/1/14
2014,7,236956,506040,27686,118494,0.292280487,0.624190219,0.034150127,0.146159979,0.472590593,7/1/14
2014,8,193624,408488,23853,100453,0.238831332,0.503861778,0.029422198,0.123906766,0.392160296,8/1/14
2014,9,231213,383090,19525,89653,0.285196611,0.472533853,0.024083697,0.110585182,0.419865491,9/1/14
2014,10,231115,370843,21862,65519,0.28507573,0.457427424,0.02696634,0.080816376,0.392858446,10/1/14
2014,11,204658,305952,13713,88816,0.25244155,0.377385673,0.016914711,0.10955276,0.378909021,11/1/14
2014,12,163232,245790,8700,98248,0.201343407,0.303177049,0.010731276,0.121186943,0.333261626,12/1/14
2015,1,215517,258934,6146,145888,0.265835909,0.31938991,0.007580968,0.17994993,0.453366807,1/1/15
2015,2,174116,262979,7997,172217,0.214768604,0.324379337,0.00986414,0.212426225,0.437058968,2/1/15
2015,3,254943,390407,14493,218681,0.314467092,0.481559226,0.017876826,0.26973864,0.602082557,3/1/15
2015,4,302774,478782,20898,210061,0.373465674,0.590568021,0.025777265,0.259106042,0.658348981,4/1/15
2015,5,289252,434775,25157,112649,0.356786557,0.536286267,0.031030656,0.138950289,0.526767502,5/1/15
2015,6,190408,458893,25656,108640,0.23486446,0.566035338,0.031646163,0.134005267,0.40051589,6/1/15
2015,7,185820,457516,28970,107355,0.229205254,0.564336836,0.035733916,0.132420245,0.397359415,7/1/15
2015,8,176919,460369,27453,92757,0.218226048,0.567855954,0.033862726,0.114413904,0.366502679,8/1/15
2015,9,257989,398263,24943,89909,0.318224272,0.491249445,0.030766692,0.110900953,0.459891917,9/1/15
2015,10,201470,398916,20027,59037,0.248509216,0.492054908,0.024702904,0.072820959,0.346033078,10/1/15
2015,11,181140,335176,12127,92944,0.223432567,0.413432892,0.014958412,0.114644565,0.353035544,11/1/15
2015,12,174384,285746,8862,104691,0.215099176,0.352461976,0.0109311,0.129134255,0.355164531,12/1/15
2016,1,177409,177409,8453,154326,0.218830453,0.218830453,0.010426606,0.190358034,0.419615094,1/1/16
2016,2,190876,190876,10306,180079,0.235441728,0.235441728,0.012712245,0.222123845,0.470277818,2/1/16
2016,3,237616,237616,18176,220719,0.293094584,0.293094584,0.022419732,0.272252472,0.587766788,3/1/16
2016,4,293016,293016,18399,202006,0.361429376,0.361429376,0.022694799,0.249170361,0.633294535,4/1/16
2016,5,306195,306195,22101,97446,0.377685409,0.377685409,0.027261141,0.120197692,0.525144242,5/1/16
2016,6,219345,219345,28389,91620,0.270557671,0.270557671,0.035017264,0.113011438,0.418586372,6/1/16
2016,7,207719,207719,30760,102272,0.256217232,0.256217232,0.037941845,0.126150467,0.420309543,7/1/16
2016,8,173473,173473,29099,99074,0.213975476,0.213975476,0.035893035,0.122205798,0.372074308,8/1/16
2016,9,232168,232168,22563,91609,0.286374585,0.286374585,0.027831009,0.112997869,0.427203463,9/1/16
2016,10,227165,227165,23953,60789,0.280203484,0.280203484,0.029545546,0.074982016,0.384731046,10/1/16
2016,11,200109,200109,16701,96888,0.246830449,0.246830449,0.020600349,0.11950941,0.386940209,11/1/16
2016,12,147742,147742,9426,112402,0.182236802,0.182236802,0.011626782,0.138645619,0.332509204,12/1/16
2017,1,142841,154193,7512,126248,0.176191517,0.190193982,0.009265902,0.155724383,0.341181801,1/1/17
2017,2,103498,183907,7421,160026,0.127662713,0.226845606,0.009153655,0.19738887,0.334205239,2/1/17
2017,3,246837,337284,15908,202972,0.304468503,0.416033068,0.0196222,0.250361903,0.574452605,3/1/17
2017,4,306308,399845,20107,180934,0.377824792,0.493200811,0.024801582,0.22317847,0.625804845,4/1/17
2017,5,302088,417226,29320,110666,0.372619506,0.514639926,0.036165634,0.136504298,0.545289438,5/1/17
2017,6,205466,438278,29170,125896,0.253438202,0.540607147,0.035980612,0.155290198,0.444709011,6/1/17
2017,7,204389,428840,31535,130565,0.252109744,0.528965563,0.038897792,0.161049316,0.452056852,7/1/17
2017,8,181698,392519,28628,102224,0.224120849,0.484164336,0.035312065,0.12609126,0.385524174,8/1/17
2017,9,224952,326208,21610,103784,0.277473793,0.402371044,0.026655503,0.128015488,0.432144784,9/1/17
2017,10,228891,362216,23835,65461,0.282332471,0.446786192,0.029399996,0.080744834,0.392477301,10/1/17
2017,11,175819,296444,16098,99010,0.21686922,0.365657745,0.019856561,0.122126855,0.358852636,11/1/17
2017,12,186716,289555,12281,108900,0.230310452,0.357160301,0.015148368,0.134325972,0.379784792,12/1/17
2018,1,125827,177404,9958,125066,0.155205088,0.218824286,0.012282994,0.15426641,0.321754491,1/1/18
2018,2,164096,217310,10642,151998,0.202409134,0.268047539,0.013126694,0.187486493,0.403022321,2/1/18
2018,3,246672,354906,14722,194686,0.304264979,0.437769453,0.018159293,0.240141287,0.562565558,3/1/18
2018,4,305724,441875,21757,175268,0.37710444,0.545043975,0.026836824,0.216189573,0.620130837,4/1/18
2018,5,324458,488852,27848,123967,0.400212454,0.602989165,0.034349951,0.152910815,0.58747322,5/1/18
2018,6,221189,472247,28230,135561,0.272832208,0.58250723,0.03482114,0.167211782,0.47486513,6/1/18
2018,7,197694,464248,27436,132716,0.243851595,0.572640623,0.033841757,0.163702532,0.441395884,7/1/18
2018,8,132209,464815,28870,104382,0.163077157,0.573340006,0.035610568,0.128753109,0.327440834,8/1/18
2018,9,271567,388710,24739,94015,0.334972463,0.479466011,0.030515062,0.115965622,0.481453147,9/1/18
2018,10,240256,339339,23071,67933,0.296350971,0.41856787,0.028457617,0.083793997,0.408602585,10/1/18
2018,11,234037,286089,15902,97173,0.288679959,0.35288506,0.019614799,0.119860952,0.42815571,11/1/18
2018,12,168531,169730,10928,104651,0.207879618,0.20935856,0.013479469,0.129084915,0.350444003,12/1/18
2019,1,110863,202959,8580,122147,0.136747293,0.250345867,0.010583258,0.150665882,0.297996433,1/1/19
2019,2,194265,188497,5921,142827,0.239621992,0.23250728,0.007303435,0.176174248,0.423099675,2/1/19
2019,3,173762,309787,13751,185434,0.214331952,0.382116069,0.016961583,0.22872913,0.460022666,3/1/19
2019,4,271543,390512,15438,170264,0.33494286,0.481688742,0.019042464,0.210017239,0.564002563,4/1/19
2019,5,292360,456030,18325,127516,0.360620213,0.562503884,0.022603521,0.157288436,0.540512169,5/1/19
2019,6,236676,441070,27749,138304,0.291935112,0.544051024,0.034227837,0.170595218,0.496758167,6/1/19
2019,7,238406,461068,33265,145562,0.294069033,0.568718157,0.041031712,0.179547816,0.514648561,7/1/19
2019,8,229493,439355,34950,111003,0.283075026,0.541935605,0.043110126,0.13691998,0.463105132,8/1/19
2019,9,251374,358511,30806,102676,0.310064802,0.442216148,0.037998585,0.126648792,0.474712179,9/1/19
2019,10,243165,296792,24990,67601,0.299939164,0.366086996,0.030824665,0.083384481,0.414148311,10/1/19
2019,11,170462,166174,13259,117519,0.210261468,0.204972306,0.016354711,0.144957336,0.371573515,11/1/19
2019,12,79338,129931,6962,108824,0.097861836,0.16026729,0.008587488,0.134232228,0.240681552,12/1/19